2017-08-27 20:42:04 MSK СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2017-08-27 08:53:14 MSK
2017-08-27 20:42:04 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:05 MSK СООБЩЕНИЕ:  не удалось получить данные от клиента: An established connection was aborted by the software in your host machine.
	
2017-08-27 20:42:05 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:07 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:08 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:09 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:10 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:11 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:12 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:13 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:14 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:15 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:16 MSK ВАЖНО:  система баз данных запускается
2017-08-27 20:42:17 MSK ВАЖНО:  система баз данных запускается
